,id,top_words
43,6adKh-LYk3s,"['polic', 'defund', 'depart', 'offic', 'cop', 'psychologist', 'debrief', 'de-escal', 'implicit', 'bia']"
44,G42RJ4mKj1k,"['goblin', 'heimlich', 'centiped', 'mutil', 'leprechaun', 'fugu', 'alien', 'grasshopp', 'ghost', 'manti']"
45,_kDKAOncclU,"['prepper', 'bunker', 'subterranean', 'pandem', 'prep', 'sewer', 'condo', 'archaeolog', 'landfil', 'passport']"
46,wCSDF0RNuXY,"['vermont', 'deer', 'farm', 'spartan', 'disciplin', 'slovakian', 'veggi', 'kettlebel', 'fruit', 'belt']"
47,gLJowTOkZVo,"['dopamin', 'hypnosi', 'durat', 'brain', 'acetylcholin', 'vr', 'stress', 'neuroplast', 'neural', 'lab']"
48,hl0iNRXcUbE,"['cop', 'polic', 'kaepernick', 'racism', 'trader', '1619', 'racist', 'protest', 'gabbert', 'anecdot']"
49,QOrOYUxzX3o,"['platoon', 'film', 'salvador', 'vietnam', 'kennedi', 'rubi', 'war', 'vietnames', 'sergeant', 'oswald']"
50,Hc6pbG4wICA,"['ufo', 'lazar', 'bob', 'craft', 'alamo', 'bigelow', 'skinwalk', 'nid', 'mutil', 'tac']"
51,CtftWcgXjdg,"['tran', 'dysphoria', 'teenag', 'gender', 'transit', 'transgend', 'biolog', 'transition', 'activist', 'hormon']"
52,OK2zgeJLVwU,"['govern', 'loan', 'tax', 'money', 'wage', 'capit', 'economi', 'unemploy', 'market', 'debt']"
53,BY3CY36WAec,"['saget', 'vitamin', 'corona', 'kovat', 'comedi', 'mitzi', 'viru', 'stand-up', 'bill', 'empathi']"
54,VkaBfJ8SC_w,"['aldo', 'fight', 'vulcan', 'yawn', 'yann', 'paig', 'max', 'holloway', 'maz', 'yan']"
55,U5o9b2RVC2E,"['breath', 'co2', 'nose', 'oxygen', 'asthma', 'nasal', 'apnea', 'airway', 'wim', 'holotrop']"
56,amyaoTtZaRE,"['gambl', 'marbl', 'newfoundland', 'ghana', 'moos', 'bowleg', 'nois', 'redskin', 'pidgin', 'rutledg']"
57,NpOxxzOhZyg,"['natur', 'vanilla', 'yellowston', 'bison', 'unnatur', 'chiropractor', 'slaveri', 'salatin', 'chattel', 'joel']"
58,VAoo7oXtyy4,"['vodka', 'whiskey', 'bringer', 'barrel', 'fighter', 'playlist', 'wrestl', 'carl', 'ferment', 'bonu']"
59,MNvjRzcfcx0,"['cramp', 'dmt', 'eddi', 'russel', 'mao', 'truffl', 'micro', 'noogi', 'tattoo', 'rushmor']"
60,FtNW3I1FZ5o,"['tran', 'racist', 'racism', 'supremaci', 'discrimin', 'anti-racist', 'critic', 'woke', 'riot', 'white']"
61,cP0D2_jhqPU,"['radium', 'denial', 'industri', 'climat', 'corpor', 'exxon', 'ozon', 'radioact', 'tobacco', 'flanneri']"
62,VmgYeeE31_8,"['migrain', 'hunt', 'backpack', 'lightn', 'bow', 'frank', 'recurv', 'yard', 'hogwe', 'cafaro']"
63,SXOUCRLW2UI,"['mortgag', 'reform', 'kovat', 'fatalist', 'qualm', 'hazard', 'health', 'trillion', 'moral', 'farm']"
64,4me69rP0mPM,"['cop', 'nigel', 'fight', 'polic', 'goat', 'benn', 'anderson', 'kovat', 'protest', 'gerald']"
65,fgxaD7u28A4,"['firearm', 'gun', 'cop', 'suppressor', 'nra', 'defund', 'rcmp', 'taser', 'polic', 'ownership']"
66,U_yasKdeo8c,"['cop', 'comanch', 'jolson', 'bear', 'lumberjack', 'karen', 'robot', 'jupit', 'blackfac', 'tesla']"
67,pRCzZp1J0v0,"['telomer', 'viru', 'mice', 'polic', 'uv', 'bat', 'hypothesi', 'repar', 'gain-of-funct', 'pandem']"
68,MdLTWICADhM,"['soprano', 'harvey', 'actor', 'comic', 'stand-up', 'movi', 'director', 'holyfield', 'theater', 'clam']"
69,bL5RzI5LyVc,"['jiu', 'jitsu', 'polic', 'leadership', 'cop', 'leader', 'defund', 'mask', 'covid', 'platoon']"
70,GO_rW0Bvy1I,"['pube', 'mustang', 'steer', 'manti', 'lemmi', 'bike', 'seattl', 'smitten', 'apex', 'car']"
71,j3sT8WpkDco,"['asian', 'malkovich', 'stand-up', 'actor', 'comedi', 'hong', 'porn', 'bruce', 'chines', 'kong']"
72,mi5OlUE3BLc,"['olympia', 'bodybuild', 'herniat', 'disc', 'membership', 'polic', 'rep', 'mr.', 'surgeri', 'depart']"
73,LimytC6bNZ0,"['epstein', 'corona', '000', 'girl', 'flu', 'underag', 'loot', 'monkey', 'bro', 'adriana']"
74,xFEWPtIFTAg,"['demetriu', 'fight', 'coach', 'rufu', 'tj', 'aldo', 'leg', 'dominick', 'toad', 'marlon']"
75,vUw8dqDHcB4,"['restaur', 'felix', 'pasta', 'cook', 'evan', 'chef', 'toronto', 'michelin', 'broccoli', 'itali']"
