,id,title,number,data
0,EED-LEWOCv0,Joe Rogan Experience #1539 - Jenny Kleeman,1539,"{0: 0.0013134851138353765, 1: 0.0001250938203652297, 2: 6.254691018263685e-05, 4: 0.3694645984488366, 5: 0.4173755316487366, 3: 6.254691018259262e-05}"
1,t7uqHosIj4s,Joe Rogan Experience #1538 - Douglas Murray,1538,"{0: 0.001351860651842627, 2: 6.144821144739212e-05, 3: 0.00012289642289477123, 4: 0.2685901322365509, 5: 0.5215724187654646, 1: 6.144821144737911e-05}"
2,9iOGfAAticY,Joe Rogan Experience #1537 - Lex Fridman,1537,"{0: 0.0, 1: 0.0022535781301739853, 2: 0.777300489348394, 3: 0.003955259575407349, 5: 0.001839655616468594, 4: 0.0008738364178226266}"
3,_Rl82OQDoOc,Joe Rogan Experience #1536 - Edward Snowden,1536,"{0: 0.0011782748559886287, 1: 0.5637764644273214, 3: 0.23391561307698094, 2: 0.00533029101518599}"
4,TDKYSLDq6es,Joe Rogan Experience #1535 - Tim Kennedy,1535,"{0: 0.0, 1: 0.0019864979734640644, 3: 4.6197627289862406e-05, 5: 0.289243344461829, 6: 0.47897699974129276, 7: 0.01275054513200197, 8: 0.002448474246362709, 4: 4.619762728985677e-05, 2: 4.619762728985677e-05}"
