,id,data
29,EED-LEWOCv0,"{0: 0.0014641899191984082, 1: 1.6685925004960656e-05, 2: 4.588629376412346e-05, 3: 2.920036875905135e-05, 4: 0.4634098522044193, 5: 0.5313465958627255}"
30,t7uqHosIj4s,"{0: 0.0014384951128050658, 1: 3.278621339728653e-05, 2: 2.0491383373246212e-05, 3: 4.508104342129432e-05, 4: 3.688449007194488e-05, 5: 0.3319030347738769, 6: 0.6637282022909365}"
31,9iOGfAAticY,"{2: 0.5157619314922697, 3: 0.46632434272883716, 4: 0.008097985626075624, 7: 0.0020060918937323535, 6: 0.0014048778093720404, 5: 0.0021226538080469926, 1: 0.0}"
32,_Rl82OQDoOc,"{1: 0.003192078555818199, 2: 0.6847364009220731, 3: 5.6132682693129645e-05, 4: 7.484357692422649e-06, 5: 0.3110536478759388}"
33,TDKYSLDq6es,"{1: 0.0021876646525772693, 2: 2.464974256434667e-05, 3: 8.319288115447962e-05, 4: 0.3636792205751401, 5: 0.6151558942156302, 6: 0.013862398974570464, 7: 0.0026529285434776107}"
34,1mgN8r1mwvM,"{1: 0.0011017483850098166, 2: 3.843308319809581e-05, 3: 2.5622055465323408e-05, 4: 0.0008519333442229152, 5: 0.9962783964436586, 0: 9.608270799504881e-05, 6: 0.000393939102779739}"
35,fTPQ9KR5j8k,"{2: 0.002195848360264971, 3: 3.0848444397081187e-05, 4: 0.507967311866556, 5: 0.48514507182078603, 6: 0.0005805116354723749, 0: 4.4870464577573266e-05, 1: 0.0}"
36,hcPUoxTvw5g,"{0: 0.0015858865060769916, 1: 0.6888750509589234, 2: 3.135933769078821e-05, 3: 1.3439716153194978e-05, 4: 0.30058373167158736, 5: 0.0006719858076596336}"
37,D7WUMXKV-FE,"{0: 0.0015785215540742564, 1: 1.3190987917077734e-05, 2: 0.6988673338375201, 3: 0.0013586717554567324, 4: 4.396995972351728e-06, 5: 1.7587983889429462e-05, 6: 0.28959494873102737, 7: 0.0011388219568390645}"
38,8xRz8ra9mdI,"{0: 0.0007462712530747061, 1: 0.45077566981759043, 2: 0.05371761374113193, 3: 0.48044734525743843, 4: 0.003614805743331395, 5: 0.005055161448566381}"
39,5UXpbbX9-Wo,"{0: 0.00016145509200004695, 1: 0.5599556145274379, 2: 0.0061411645902564, 3: 0.0030382912767281268, 4: 0.407292486173571, 6: 0.006314361870765756, 5: 0.0051636273968746205, 7: 0.0024247619271279275, 8: 1.4677735636237088e-05}"
40,KUCkrZKslr4,"{2: 0.0011718039229959662, 3: 0.0, 4: 0.4958222642745373, 5: 0.00013828741948392564, 6: 0.0001492048473376798, 7: 0.477408202627462, 8: 0.003784708322719016, 9: 0.01411259507260093, 1: 0.0}"
41,NY3Zg37nIHo,"{2: 0.0014667069292098635, 3: 0.6818265599447827, 4: 0.055346617358122976, 5: 0.024086935719804217, 6: 0.0031961661692676653, 7: 0.0018863262913099608, 8: 0.2169902703211461, 9: 0.009149270764295808, 1: 0.0}"
42,7eRR7j1OCOs,"{0: 0.006048909335677991, 1: 0.31514160941849484, 2: 0.002838390508538987, 3: 0.5896665073568302, 4: 0.030970561731344798, 5: 0.021371840101568756, 6: 0.02604898230201491}"
43,h9XzuUXj6Gc,"{0: 0.00014231402606379733, 1: 0.5794254579462049, 2: 0.0006058511395286985, 3: 0.0002358346717628947, 4: 0.00875027954540831, 5: 0.3744525992640326, 6: 0.015760261857807878, 7: 0.010250675991623881}"
44,PjLW5irADoM,"{0: 0.000499410360037099, 1: 0.48258988337299313, 2: 0.0001259017714380637, 3: 0.5017899035172761, 4: 0.00211934648587153, 5: 0.0014059031143901501, 6: 0.0049479396175104995}"
45,INSy7D2LBfU,"{0: 0.5137474688846805, 1: 0.05313044140550098, 2: 0.40396469176202365, 3: 0.014003535025909475, 4: 0.007944616176551261, 5: 0.0009402223442001676}"
46,pw8dkF-jotk,"{0: 0.48568031046728444, 1: 0.010547098416965942, 2: 0.005364026768431984, 3: 0.4912414490627498}"
47,Trh7YWo2Bmo,"{2: 0.8484141032387694, 3: 0.002825750689693563, 4: 0.0015340700696870112, 5: 0.12797844009631815, 7: 0.015235452646350511, 6: 0.0022261557352215022, 1: 0.0}"
48,j9NeQTkJjIs,"{0: 0.0005892428914011648, 1: 4.5677743519470645e-06, 2: 0.0, 3: 0.0, 4: 4.5677743519470645e-06, 5: 0.0, 6: 0.0, 7: 0.19989950896425684, 8: 0.7800296905332883, 9: 0.01734840698869486}"
49,yR-GXnXw2wU,"{0: 0.00021938632581907044, 1: 0.6253860355540857, 2: 0.0006109065380501834, 3: 0.0012285634245868251, 4: 0.3585076329565502, 5: 0.003469679122184509, 6: 0.005862677660734457}"
50,j7T6__UbhBI,"{0: 0.00019694447846940513, 1: 0.0, 2: 0.0, 3: 0.7575805610996232, 4: 8.165990570683409e-05, 5: 0.23204382735174586, 6: 0.004765095674186631, 7: 0.0002858096699739354}"
51,6adKh-LYk3s,"{0: 0.00020340559074795138, 1: 0.7276980298715644, 2: 1.937196102368266e-05, 3: 4.8429902558984534e-05, 4: 6.780186358255609e-05, 5: 0.26693109393463876}"
52,G42RJ4mKj1k,"{0: 0.0017999946702715016, 1: 0.0011047073615664098, 2: 0.2899154268991391, 3: 0.011051918823389285, 4: 0.623786578290079, 5: 0.039897863021132185, 6: 0.023065611380423973}"
53,_kDKAOncclU,"{0: 0.0002841580192474263, 1: 0.5096254249531839, 2: 0.017895108031401923, 3: 0.003423590593342396, 4: 0.002382819052966418, 5: 0.4433447110660701, 6: 0.010708991375975252, 7: 0.007956424538928142}"
54,wCSDF0RNuXY,"{0: 0.00010438374446859352, 1: 0.4769815203492389, 2: 0.00016030360757686543, 3: 5.2191872234280397e-05, 4: 4.4735890486523696e-05, 5: 0.5160359527439877}"
55,gLJowTOkZVo,"{0: 0.6716867978429177, 1: 0.0002566345085619287, 2: 6.753539699125256e-06, 3: 3.714446834436586e-05, 4: 4.052123819386325e-05, 5: 2.3637388946559494e-05, 6: 0.3234877980421468}"
56,hl0iNRXcUbE,"{0: 0.540392367643105, 1: 0.002155334587476399, 2: 0.0019725880139746764, 3: 2.6874496103198046e-05, 4: 2.1499596882558426e-05, 5: 0.4291427035743065, 6: 0.01945713517871539}"
57,QOrOYUxzX3o,"{0: 0.27320929232092916, 1: 0.46111529361152953, 2: 5.915250591525623e-05, 3: 3.7642503764365024e-05, 4: 0.2596741234674119, 5: 0.00010755001075496429}"
58,Hc6pbG4wICA,"{0: 0.43816896689068247, 1: 0.00999222370442495, 2: 0.24375525532170372, 3: 0.004194774076486252, 4: 0.002124256352222181, 5: 0.2884499883039457, 6: 0.00822833226909786}"
59,CtftWcgXjdg,"{0: 0.5008490217792545, 1: 0.00043769445762809056, 2: 2.6367136001729477e-05, 3: 2.636713600161851e-05, 4: 6.855455360440247e-05, 5: 0.4883088118968534, 6: 0.001666402995306654, 7: 0.004566787955492313}"
60,OK2zgeJLVwU,"{0: 0.0007033983498818111, 1: 0.00037132187568866826, 2: 6.03775407636046e-06, 3: 0.0, 4: 6.03775407636046e-06, 5: 0.0, 6: 0.9974309356405605, 7: 3.0188770381114807e-05}"
61,BY3CY36WAec,"{0: 0.4936127317492351, 1: 0.002962474119144377, 2: 7.252078627104953e-06, 3: 0.00010152910077833581, 4: 0.0009137619070066825, 5: 0.4892941189268358, 6: 0.005254130965287859}"
62,U5o9b2RVC2E,"{0: 0.7417697083528988, 1: 0.001377367350133002, 2: 4.173840454958544e-05, 3: 0.0015391036677621182, 4: 5.739030625552885e-05, 5: 0.2484739395836594}"
63,amyaoTtZaRE,"{0: 0.07627387044994835, 1: 0.4458420609384803, 2: 0.00035990124309904066, 3: 0.0007162034737666998, 4: 0.002486917589813235, 5: 0.429844450682732, 6: 0.020255241961606392, 7: 0.007611911291541214, 8: 0.0100376456700281}"
