,id,top_words
42,_VCG6PzLnRA,"['zuckerberg', 'slave', 'mark', 'africa', 'canadian', 'ian', 'cuddl', 'babel', 'unprompt', 'cleveland']"
43,b9-r2g4bq6A,"['korean', 'latinx', 'oppress', 'korea', 'expressvpn', 'chinaman', 'asian', '120.', 'bulli', 'grenad']"
44,iKMTT7LlZOI,"['psychedel', 'grist', 'server', 'mushroom', 'dune', 'incarn', 'randal', 'ramda', 'applebe', 'ketamin']"
45,J4hQnfu9nkY,"['gimp', 'wet', 'smell', 'duncan', 'labor', 'phallic', 'ed', 'sissi', 'white', 'alaska']"
46,Os86a07fK10,"['bert', 'patriarchi', 'draftk', 'georgia', 'leann', 'perspect', 'sandi', 'isla', 'bear', 'platter']"
47,Mk_2SKszaoA,"['darci', 'revolut', 'gasolin', 'angelica', 'lavel', 'dr', 'hypnagog', 'expressvpn', 'huf', 'cognit']"
48,OLUtT7joQ_4,"['playoff', 'nude', 'pong', 'ping', 'rainfal', 'draw', 'high-ris', 'lorn', 'tenni', 'miniatur']"
49,bGklkg3m-6U,"['mask', 'choo', 'rotten', 'procedur', 'quip', 'stingi', 'anal', 'draftk', 'sketch', 'exempt']"
50,iNLiA2PdrOc,"['porn', 'ski', 'jet', 'motorcycl', 'surf', 'helmet', 'surfer', 'tenni', 'isla', 'draftk']"
51,nUEgl2LpsXU,"['crazier', 'bothersom', 'ymhvirtual.com', 'pm', 'worldwid', 'pacif', 'stool', '18th', 'champagn', 'diaz']"
52,zSRBGlyisno,"['mayor', 'kayak', 'phallic', 'stingi', 'tenni', 'pritchard', 'falwel', 'measur', 'dandruff', 'necklac']"
53,7ZeuBdmjMv4,"['pancak', 'dossier', 'leann', 'isla', 'pi', 'nolt', 'cologn', 'investig', 'nicknam', 'jake']"
54,N09n78N5g4c,"['blah', 'vaccin', 'karen', 'dr', 'upstart', 'garden', 'theragun', 'depress', 'theragon', 'alcohol']"
55,p34d5z6k-0s,"['kellen', 'winslow', 'gasolin', 'hedon', 'shelbi', 'jerk', 'fart', 'pug', 'crank', 'rape']"
56,oRpc5AYYOuo,"['denzel', 'warren', 'whitney', 'crow', 'barkley', 'russel', 'mouthwash', 'weldon', 'earbud', 'bruce']"
57,By5-6YNZAU8,"['bulgaria', 'vampir', 'dr', 'upstart', 'stamps.com', 'biolog', 'mask', 'silenc', 'deborah', 'moldova']"
58,cgLI5ZB633Y,"['asner', 'fremont', 'sissi', 'ed', 'hernia', 'english', 'tattoo', 'earbud', 'vasectomi', 'p3']"
59,WVEu6BKuXRQ,"['peanut', 'butter', 'carver', 'book', 'read', 'cpap', 'presid', 'washington', 'snore', 'georg']"
60,7kZOWGsdKUw,"['hpv', 'len', 'cyst', 'peyroni', 'dr', 'upstart', 'sort', 'semen', 'cornea', 'australian']"
61,49kVDK48ApM,"['barley', 'exit', 'pedophil', 'buckey', 'wine', 'phil', 'minnesota', 'drifter', 'disregard', 'heidi']"
62,JdiuB5yTLKw,"['wasp', 'reclus', 'kincaid', 'stutter', 'gestapo', 'lodg', 'dandruff', 'stingi', 'nazi', 'spider']"
63,wwKu_ih3h94,"['faison', 'cameron', 'lyle', 'cam', 'vulner', 'british', 'jay-z', 'wyom', 'squad', 'push-up']"
64,luMw5TXdtzY,"['diabet', 'adipos', 'keton', 'radic', 'self-accept', 'pancreat', 'goddess', 'dismantl', 'religion', 'worship']"
65,Wiu4NYPqVxY,"['cyru', 'merl', 'cognac', 'lesnar', 'hackett', 'spoken', 'billi', 'mixtap', 'ray', 'parton']"
66,c4TDFU35eI0,"['dar', 'video', 'fryer', 'hybrid', 'makeup', 'microwav', 'carol', 'charli', 'lesson', 'jose']"
67,OSFv7I97oUw,"['courtney', 'ellen', 'hairstyl', 'tenni', 'asner', 'ed', 'hansen', 'powel', 'mohawk', 'game']"
68,WyO9meHVaA4,"['vincero', 'dr', 'ration', 'tran', 'british', 'useless', 'h1n1', 'delusion', 'demisexu', 'candid']"
69,tnTb4flsPTM,"['tenni', 'bayonetta', 'tran', 'flask', 'matchmak', 'indian', 'norm', 'doordash', 'fiend', 'racist']"
70,-YBmTi9CWaA,"['scissor', 'coin', 'mustard', '321', 'anthrax', 'submers', 'tuft', 'unapologet', 'p.', 'low-level']"
71,Z0tOr1o5vpM,"['warren', 'dumbbel', 'traci', 'brett', 'morgan', 'ron', 'footbal', 'sap', 'sapp', 'lynch']"
72,qVY6c82YG3M,"['cameo', 'fetish', 'embark', 'fist', 'dr.', 'elbow', 'gnarli', 'zone', 'mous', 'drew']"
73,rv2ATGnO4BY,"['dykstra', 'self-proclaim', 'father-in-law', 'gandolfini', 'cannon', 'limo', 'lenni', 'lake', 'phoni', 'nephew']"
74,BbNqYAR1ulQ,"['jami', 'panda', 'entangl', 'soprano', 'bike', 'emmi', 'jada', 'adjust', 'rob', 'meadow']"
